,,,,,,,,,
int,varchar,room_type,float[2],bool,bool,varchar[],varchar,varchar[],int
floor,room_number,room_type,door_coordinate,accessible_door,inside_accessbility,room_name,building_name,tags,min_stairs_needed
3000,3600.02,,,,,,Academy,,
3000,3601,,,,,,Academy,,
3000,3625,,,,,,Academy,,
3000,3623,Office,,,,,Academy,,
3000,3621,Office,,,,,Academy,,
3000,3624,Office,,,,,Academy,,
3000,3618,Office,,,,,Academy,,
3000,3619,Office,,,,,Academy,,
3000,3615,Office,,,,,Academy,,
3000,3613,Office,,,,,Academy,,
3000,3611,Office,,,,,Academy,,
3000,3602,Office,,,,,Academy,,
3000,3005,Stairs,,,,,Academy,,
3000,3711,Office,,,,,Academy,,
3000,3712,Office,,,,,Academy,,
3000,3714,Office,,,,,Academy,,
3000,3715,Office,,,,,Academy,,
3000,3717,Office,,,,,Academy,,
3000,3718,Office,,,,,Academy,,
3000,3719,Office,,,,,Academy,,
3000,3721,,,,,,Academy,,
3000,3724,Office,,,,,Academy,,
4000,4112.01,Office,,,,,Academy,,
4000,4112.02,Office,,,,,Academy,,
4000,4112.03,Office,,,,,Academy,,
4000,4111,Office,,,,,Academy,,
4000,4113,Office,,,,,Academy,,
4000,4115,Office,,,,,Academy,,
4000,4117,Office,,,,,Academy,,
4000,4118,,,,,,Academy,,
4000,4119,Office,,,,,Academy,,
4000,4121,Office,,,,,Academy,,
4000,4120,Office,,,,,Academy,,
4000,4100.01,Office,,,,,Academy,,
4000,4116,Office,,,,,Academy,,
4000,4001,Stairs,,,,,Academy,,
4000,4100.02,Office,,,,,Academy,,
4000,4211.02,Office,,,,,Academy,,
4000,4211.03,Office,,,,,Academy,,
4000,4211.01,Office,,,,,Academy,,
4000,4213,Office,,,,,Academy,,
4000,4215,Office,,,,,Academy,,
4000,4217,Office,,,,,Academy,,
4000,4212,Office,,,,,Academy,,
4000,4218,Office,,,,,Academy,,
4000,4216,Office,,,,,Academy,,
4000,4219,Office,,,,,Academy,,
4000,4221,Office,,,,,Academy,,
4000,4222,Office,,,,,Academy,,
4000,4225,Office,,,,,Academy,,
4000,4226,Office,,,,,Academy,,
4000,4224,Office,,,,,Academy,,
4000,4229,Office,,,,,Academy,,
4000,4228,,,,,,Academy,,
4000,4413,,,,,,Academy,,
4000,4414,,,,,,Academy,,
4000,4411,,,,,,Academy,,
4000,4000,Hallway,,,,,Academy,,
4000,4003,Stairs,,,,,Academy,,
4000,4500,,,,,,Academy,,
4000,4002,Stairs,,,,,Academy,,
4000,4-E,Elevator,,,,,Academy,,
4000,4300,Hallway,,,,,Academy,,
4000,4315,Bathroom(M),,,,,Academy,,
4000,4313,Bathroom(W),,,,,Academy,,
4000,4311,Bathroom(N),,,,,Academy,,
4000,4631,Office,,,,,Academy,,
4000,4636,Office,,,,,Academy,,
4000,4609.01,Office,,,,,Academy,,
4000,4609.02,Office,,,,,Academy,,
4000,4609.03,Office,,,,,Academy,,
4000,4600.01,Office,,,,,Academy,,
4000,4600.02,Office,,,,,Academy,,
4000,4600.03,Office,,,,,Academy,,
4000,4600.04,Office,,,,,Academy,,
4000,4626,Office,,,,,Academy,,
4000,4627,Office,,,,,Academy,,
4000,4625,Office,,,,,Academy,,
4000,4624,Office,,,,,Academy,,
4000,4623,Office,,,,,Academy,,
4000,4622,Office,,,,,Academy,,
4000,4621,Office,,,,,Academy,,
4000,4614,Office,,,,,Academy,,
4000,4616.01,Office,,,,,Academy,,
4000,4616.02,Office,,,,,Academy,,
4000,4618,Office,,,,,Academy,,
4000,4611,Office,,,,,Academy,,
4000,4613,Office,,,,,Academy,,
4000,4615,Office,,,,,Academy,,
4000,4617,Office,,,,,Academy,,
4000,4619,Office,,,,,Academy,,
4000,4005,Stairs,,,,,Academy,,
4000,4720,Office,,,,,Academy,,
4000,4721,Office,,,,,Academy,,
4000,4714.01,Office,,,,,Academy,,
4000,4714.02,Office,,,,,Academy,,
4000,4711,Office,,,,,Academy,,
4000,4713,Office,,,,,Academy,,
4000,4716,Office,,,,,Academy,,
4000,4717,Office,,,,,Academy,,
4000,4719,Office,,,,,Academy,,
4000,4718,Office,,,,,Academy,,
